فاتمه,name,female
فارس,name,male
فؤاد,name,male
فريد,name,male
فادي,name,male
فايز,name,male
فايزه,name,female
فريده,name,female
فرح,name,female
فاضل,name,male
فوزيه,name,female
فتحي,name,male
فائق,name,male
فهيم,name,male
فدوي,name,female
فيل,animal,
فرس,animal,
فأر,animal,
فرخ,animal,
فهد,animal,
فراشه,animal,
فلامنغو,animal,
فِنك,animal,
فهدان,animal,
فِكْرَان,animal,
فروخ,animal,
فلاسك,animal,
فيوك,animal,
فانجو,animal,
فلبري,animal,
فلفل,plant,
فستق,plant,
فجل,plant,
فول,plant,
فاكهه,plant,
فل,plant,
فريزيا,plant,
فسيله,plant,
فراوله,plant,
فيكس,plant,
فوليا,plant,
فرقع,plant,
فرفس,plant,
فنجان,object,
فان,object,
فلم,object,
فأس,object,
فازه,object,
فانوس,object,
فرشاه,object,
فرن,object,
فوطه,object,
فندق,object,
فستان,object,
فهرس,object,
فلاش,object,
فاكس,object,
فيوز,object,
فرنسا,country,
فنلندا,country,
فنزويلا,country,
فلسطين,country,
فلبين,country,
فيجي,country,
فانواتو,country,
