قاسم,name,male
قيس,name,male
قمر,name,female
قتيبه,name,female
قائد,name,male
قيصر,name,male
قاضي,name,male
قدري,name,male
قسيان,name,male
قرد,animal,
قطه,animal,
قرش,animal,
قنفذ,animal,
قنديل,animal,
قمري,animal,
قوقازيمره,animal,
قيل,animal,
قسيط,animal,
قمح,plant,
قطن,plant,
قرفه,plant,
قرنفل,plant,
قرنبيط,plant,
قصب,plant,
قرع,plant,
قنب,plant,
قاش,plant,
قلم,object,
قفل,object,
قطار,object,
قارب,object,
قبعه,object,
قنينه,object,
قصر,object,
قاعه,object,
قابلمه,object,
قدر,object,
قبو,object,
قشر,object,
قطر,country,
قبرص,country,
قيرغيزستان,country,
