علي,name,male
عمر,name,male
عادل,name,male
عائشه,name,female
عصام,name,male
عمار,name,male
عرفان,name,male
عارف,name,male
عزام,name,male
عزه,name,female
عفيف,name,male
علا,name,female
عيسي,name,male
عويس,name,male
عاصم,name,male
عصفور,animal,
عقاب,animal,
عقرب,animal,
عنكبوت,animal,
عجل,animal,
عجول,animal,
عنز,animal,
عنزه,animal,
عنب,plant,
عرعر,plant,
عصفر,plant,
عرقسوس,plant,
عود,plant,
عدس,plant,
عليقه,plant,
عشب,plant,
علبه,object,
عجله,object,
عصا,object,
عربه,object,
عطر,object,
عدسه,object,
عمود,object,
عقد,object,
عمامه,object,
عكاز,object,
علم,object,
عقده,object,
عمان,country,
عراق,country,
