شادي,name,male
شيماء,name,female
شهد,name,female
شريف,name,male
شيرين,name,female
شهاب,name,male
شوق,name,female
شروق,name,female
شكري,name,male
شفيق,name,male
شفيقه,name,female
شمسة,name,female
شربل,name,male
شعبان,name,male
شام,name,female
شمبانزي,animal,
شبل,animal,
شاة,animal,
شتر,animal,
شحرور,animal,
شبوت,animal,
شجره,plant,
شبت,plant,
شمر,plant,
شاي,plant,
شمام,plant,
شوك,plant,
شيح,plant,
شعير,plant,
شمندر,plant,
شلغم,plant,
شباك,object,
شاحنه,object,
شراع,object,
شعار,object,
شمع,object,
شاحن,object,
شاشه,object,
شنطه,object,
شقه,object,
شرفه,object,
شماغ,object,
شال,object,
شريط,object,
شوايه,object,
شيفون,object,
